curriculum,grade,name
british,1,1A British
british,1,1B British
british,1,1C British
british,1,1D British
british,1,1E British
british,2,2A British
british,2,2B British
british,2,2C British
british,2,2D British
british,2,2E British
british,3,3A British
british,3,3B British
british,3,3C British
british,3,3D British
british,3,3E British
american,1,1A American
american,1,1B American
american,1,1C American
american,1,1D American
american,1,1E American
american,2,2A American
american,2,2B American
american,2,2C American
american,2,2D American
american,2,2E American
american,3,3A American
american,3,3B American
american,3,3C American
american,3,3D American
american,3,3E American
